Facility Type,Visit Date,Average Time Spent
Specialty Center,2025-10-30,33
Hospital,2025-10-30,31
Clinic,2025-10-30,52
Specialty Center,2025-10-29,45.33
Hospital,2025-10-29,38
Clinic,2025-10-29,31
Specialty Center,2025-10-28,33.67
Hospital,2025-10-28,49
Clinic,2025-10-28,38.67
Specialty Center,2025-10-27,45.5
Hospital,2025-10-27,26.33
Specialty Center,2025-10-26,48.33
Hospital,2025-10-26,57
Clinic,2025-10-26,34.75
Specialty Center,2025-10-25,31
Hospital,2025-10-25,40.5
Clinic,2025-10-25,33.33
Specialty Center,2025-10-24,30
Hospital,2025-10-24,39
Clinic,2025-10-24,42.33
